,Frecuencia,Orientacion,Categoria
0,5.985520354248248,121.91217571682591,D
1,6.085625992202811,123.1182034892926,D
2,6.19701168184735,123.35405954522321,D
3,6.230360613990967,125.54988229965942,D
4,6.238554855360795,124.65202408562419,D
5,6.1348427987048915,128.5001785133685,D
6,6.052166714154253,125.6591989764217,D
7,5.934456742261,124.95023740256167,D
8,6.16923167429551,128.23417210570705,D
9,6.09039624282229,121.94132743309783,D
10,6.247556727225043,130.75270380536656,D
11,5.980714176734218,125.1256310001439,D
12,6.0623758666592416,124.23529142565243,D
13,5.904878538746125,126.53940187733242,D
14,6.222389977970043,125.5064575362914,D
15,6.370329038865905,126.30820340930609,D
16,6.061231884223325,129.29349985702774,D
17,6.098318425413266,126.29361036976076,D
18,6.0523114968419085,126.58730060018694,D
19,5.924819947673269,127.93270533536455,D
20,6.065111508891322,124.66963645823427,D
21,6.17346995622928,121.8608784870871,D
22,6.208367998379,123.07111802813199,D
23,6.3066660458842225,126.32555824982381,D
24,6.113485497580755,128.2519067002073,D
25,6.255674391454847,120.38690300981197,D
26,5.840670853381218,124.04418330845229,D
27,6.117055980614436,121.54032047994623,D
28,6.139204736762703,126.81454315762537,D
29,6.261290795608638,125.5829176098734,D
30,6.141246856327232,117.7192494606133,D
31,5.999834802324281,125.09955724503132,D
32,6.269444460256567,122.0685915711083,D
33,6.023256206178998,126.08527890341026,D
34,5.868143095580072,124.75923434049346,D
35,6.036372586063672,128.18840060138226,D
36,6.3286243309767425,126.45726381138374,D
37,5.974770173260319,127.5206976227978,D
38,6.064244506497094,117.68115119126715,D
39,6.337641644162744,121.087917975165,D
