,Frecuencia,Orientacion,Categoria,tecla
0,4.051007111345292,126.94283649354908,A,left
1,4.230995066720414,123.40146920564226,A,left
2,4.247899423736885,126.07154169596028,A,left
3,4.506626627957161,126.10777634321647,A,left
4,4.261195443392541,129.0608861488144,A,left
5,4.128970118699158,123.93120907765265,A,left
6,4.179145956451611,123.77541839050532,A,left
7,4.508356930863058,125.14577889715615,A,left
8,4.4098741960791195,122.85438891142205,A,left
9,4.186299829633979,124.84535852513531,A,left
10,4.117671765304026,124.71354299435811,A,left
11,4.3312357495842795,122.88232817896957,A,left
12,4.1779342846006084,126.55095218268613,A,left
13,4.576787968178017,122.32793875860847,A,left
14,4.245411352935649,122.05330069752121,A,left
15,4.461638528244035,123.80834875274165,A,left
16,4.12863571896243,122.95316662977257,A,left
17,4.131443452668533,126.50529645633327,A,left
18,4.397316583562442,122.59761358601341,A,left
19,4.226715284347804,128.46021747444428,A,left
20,4.157943176990587,127.96620957581311,A,left
21,4.4720175628760845,125.93565429956514,A,left
22,4.434421349801258,127.56920736422956,A,left
23,4.089399826001282,122.74214406540929,A,left
24,4.01824543709285,122.54166769994609,A,left
25,4.182414537227448,124.81321473738355,A,left
26,4.373457136827279,126.5733789156499,A,left
27,4.121784098455665,127.55747703958207,A,left
28,4.595691111429547,122.34165717032005,A,left
29,4.372721313086952,117.43276097551272,A,left
30,4.355261863778666,126.88184649043261,A,left
31,4.457469710973975,124.11914502748242,A,left
32,4.349686066620249,124.26483760072448,A,left
33,4.098407927413106,122.85812505267239,A,left
34,4.374667533226754,121.93664117207985,A,left
35,4.15103911197002,121.73944539796562,A,left
36,4.208618947228841,132.90260043166847,A,left
37,4.160114214144741,127.66240765034517,A,left
38,4.2962984862395786,123.62038277300566,A,left
39,4.367156165056925,125.17118979297416,A,left
0,6.401208182693738,125.9363165290931,B,right
1,6.571018819987312,122.70333651420131,B,right
2,6.518004863318165,123.20131365682974,B,right
3,6.628676680894346,122.44289677766082,B,right
4,6.801759969636979,123.47903176571984,B,right
5,6.497142236819809,121.23361188501052,B,right
6,6.886451511245237,126.2163564349831,B,right
7,6.169875368639182,127.7810879888924,B,right
8,6.422022771037851,125.47103396839839,B,right
9,6.70165031872824,126.53215597156033,B,right
10,6.356430390906767,125.14609815095615,B,right
11,6.722311159573781,120.52954028723089,B,right
12,6.5815838645401925,126.7402316510638,B,right
13,6.71175578163359,123.29293281761915,B,right
14,6.65995719914972,124.3827445799278,B,right
15,6.490943893429847,122.59241509716159,B,right
16,6.361374075971469,126.19442524672142,B,right
17,6.336281947467627,128.1264791291794,B,right
18,6.471273003314206,123.4150376131454,B,right
19,6.477994811098289,126.19821047645804,B,right
20,6.35783087071996,122.59955563617358,B,right
21,6.584169578367559,128.66457028184055,B,right
22,6.330657520515424,126.97096486018059,B,right
23,6.289038934889729,124.82939814885236,B,right
24,6.290986311037119,124.70665323120784,B,right
25,6.627365383415467,127.65467142710699,B,right
26,6.536750801068472,127.56577611246028,B,right
27,6.711840800008945,124.56906896864984,B,right
28,6.556064798764941,128.8237883919781,B,right
29,6.430498779563607,129.1301828664952,B,right
30,6.211484577478533,128.9556552629341,B,right
31,6.67501270275929,127.5610035256809,B,right
32,6.289629524773377,123.23762605321008,B,right
33,6.286186894314995,125.36111552956773,B,right
34,6.410721621349626,128.65741492082768,B,right
35,6.5231061350920685,127.53124602919372,B,right
36,6.698995051565192,123.42853847722277,B,right
37,6.489546489047544,124.57752890269875,B,right
38,6.653407371677709,123.88667074137443,B,right
39,6.715409391517514,123.85418058026406,B,right
