,Frecuencia,Orientacion,Categoria
0,6.912171595054997,126.19804692352817,B
1,6.838911594380457,125.53237056910824,B
2,6.829540887634193,122.04661467886535,B
3,6.603670589601611,122.97256136409557,B
4,6.90234581194862,119.51530530996321,B
5,6.64834452440136,125.76703579931218,B
6,7.373864815742541,126.30632517655509,B
7,7.107142026262233,125.13042305865397,B
8,7.034353824526497,121.21499238890267,B
9,7.020886803006042,126.27240311488097,B
10,6.732650517731326,128.5223817025103,B
11,6.796143822133737,128.19530993253397,B
12,6.9323412590196165,125.92486816510993,B
13,6.696233598799289,121.3387995577267,B
14,6.974822824250216,121.99493783157894,B
15,6.912687262899969,125.95465663774318,B
16,6.699409448746166,124.1029709808772,B
17,6.926376891990218,121.26498733898983,B
18,7.02484224758622,125.92825761556139,B
19,6.831186889713738,123.38574424357554,B
20,6.994455508408642,124.67916614176184,B
21,6.889531470796559,126.05109953897848,B
22,7.000198644458865,120.13825962872033,B
23,6.916912957000394,122.2676458265497,B
24,6.5854573193905654,125.28895244883805,B
25,7.026405237441236,124.32283781094256,B
26,6.739434889683022,125.80752504600925,B
27,6.672237149146307,125.79480160724658,B
28,6.925317159169323,128.30922410545932,B
29,7.105395541109558,131.13665834650394,B
30,6.951201977811109,124.49852499613797,B
31,6.734154856008112,122.84630301857655,B
32,6.719023653012208,123.23705841249898,B
33,6.9909321404686136,123.99792021320972,B
34,7.024973594820556,122.62862438050868,B
35,6.92771122384602,127.42007518590606,B
36,6.866527362007112,126.31975329736795,B
37,6.788553018864825,123.60442667320874,B
38,6.470930290571886,130.2770495325132,B
39,6.399643587119149,123.88893161196698,B
40,6.707668240449999,122.8367421809975,B
41,6.930543877173661,123.03446717189084,B
42,7.069461538704055,130.1579085435677,B
43,6.764716581944054,123.48500324688302,B
44,6.65990352905443,125.20811332102218,B
45,6.9087427989066965,123.89532885242365,B
46,6.708308101321502,124.82247223568118,B
47,6.649658017124264,122.85970140985555,B
48,6.6997428565018815,126.73898251815018,B
49,6.543415075346964,125.33096787972482,B
50,7.176348089530417,121.47161620868788,B
51,6.63609952817844,124.0294642208152,B
52,6.508326348786668,127.66667615305612,B
53,6.827777089643105,125.72525587727141,B
54,6.774749788203079,124.50930557279396,B
55,7.16131497639003,123.37514909460451,B
56,6.722966850420128,125.87413674006554,B
57,6.867505171223575,124.96835224457517,B
58,6.827390304829371,127.74515650560392,B
59,7.04084704905305,127.32296971536204,B
60,6.656468716736505,124.80583703586662,B
61,6.620005975003412,124.68612901992111,B
62,6.862900605724454,125.14077320659307,B
63,7.2260568320805065,116.58382442586012,B
64,6.812361224582027,125.63766070009166,B
65,6.924944425493488,124.7635060741227,B
66,6.920359745978306,126.59495045411332,B
67,6.903638352770631,121.01082780908587,B
68,7.191652223750492,125.7849495999131,B
69,6.834000198906409,125.3927750475552,B
70,6.979771093115339,126.96012801407241,B
71,6.698198938240702,117.36414642305641,B
72,6.96574335273539,123.61778467942001,B
73,6.741692492922747,123.95677140920506,B
74,6.809717993451703,123.8037515816274,B
75,6.714005560208072,130.7132617508597,B
76,7.123600307096042,124.82583073373087,B
77,6.790200357950531,125.96671323724557,B
78,7.059175281372579,128.5227781373524,B
79,6.869424050130117,128.94959767110234,B
