trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.003490999981295,None,space,1.710887899971567,18.003490999981295,None,,,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
0,0,0,0,,,,,,,20.211991999996826,None,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
1,0,1,0,,,,,,,21.70983809995232,21.227127699996345,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
2,0,2,0,,,,,,,23.20801429997664,22.724912200006656,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
3,0,3,0,,,,,,,24.70506139995996,24.223207300005015,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
4,0,4,0,,,,,,,26.202802399988286,25.72024989995407,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
5,0,5,0,,,,,,,27.700629999977536,27.21809709997615,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
6,0,6,0,,,,,,,29.19821389997378,28.71564509999007,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
7,0,7,0,,,,,,,30.695746599987615,30.213455199962482,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
8,0,8,0,,,,,,,32.19364199996926,31.71144819998881,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
9,0,9,0,,,,,,,33.69132589997025,33.20862779999152,prueba3,001,2021_Feb_17_1859,PruebaGabor1,2020.2.10,59.97041061146614,
