trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,120.01240010000765,None,space,0.8447846999624744,120.01240010000765,None,,,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
0,0,0,0,,,,,,,121.35582980001345,None,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
1,0,1,0,,,,,,,122.85340840002755,122.37082720000762,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
2,0,2,0,,,,,,,124.35108880000189,123.86860769998748,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
3,0,3,0,,,,,,,125.84880259999773,125.36628690001089,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
4,0,4,0,,,,,,,127.34652050002478,126.86397030000808,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
5,0,5,0,,,,,,,128.84426430001622,128.36154870002065,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
6,0,6,0,,,,,,,130.34193960000994,129.85963070002617,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
7,0,7,0,,,,,,,131.83949610003037,131.35700890002772,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
8,0,8,0,,,,,,,133.33727880002698,132.85460780002177,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
9,0,9,0,,,,,,,134.83496680000098,134.35244019998936,prueba7,001,2021_Feb_17_2040,PruebaGabor1,2020.2.10,60.01788532627493,
