,Frecuencia,Orientacion,Categoria
0,6.401208182693738,125.9363165290931,B
1,6.571018819987312,122.70333651420131,B
2,6.518004863318165,123.20131365682974,B
3,6.628676680894346,122.44289677766082,B
4,6.801759969636979,123.47903176571984,B
5,6.497142236819809,121.23361188501052,B
6,6.886451511245237,126.2163564349831,B
7,6.169875368639182,127.7810879888924,B
8,6.422022771037851,125.47103396839839,B
9,6.70165031872824,126.53215597156033,B
10,6.356430390906767,125.14609815095615,B
11,6.722311159573781,120.52954028723089,B
12,6.5815838645401925,126.7402316510638,B
13,6.71175578163359,123.29293281761915,B
14,6.65995719914972,124.3827445799278,B
15,6.490943893429847,122.59241509716159,B
16,6.361374075971469,126.19442524672142,B
17,6.336281947467627,128.1264791291794,B
18,6.471273003314206,123.4150376131454,B
19,6.477994811098289,126.19821047645804,B
20,6.35783087071996,122.59955563617358,B
21,6.584169578367559,128.66457028184055,B
22,6.330657520515424,126.97096486018059,B
23,6.289038934889729,124.82939814885236,B
24,6.290986311037119,124.70665323120784,B
25,6.627365383415467,127.65467142710699,B
26,6.536750801068472,127.56577611246028,B
27,6.711840800008945,124.56906896864984,B
28,6.556064798764941,128.8237883919781,B
29,6.430498779563607,129.1301828664952,B
30,6.211484577478533,128.9556552629341,B
31,6.67501270275929,127.5610035256809,B
32,6.289629524773377,123.23762605321008,B
33,6.286186894314995,125.36111552956773,B
34,6.410721621349626,128.65741492082768,B
35,6.5231061350920685,127.53124602919372,B
36,6.698995051565192,123.42853847722277,B
37,6.489546489047544,124.57752890269875,B
38,6.653407371677709,123.88667074137443,B
39,6.715409391517514,123.85418058026406,B
